appid,developer,publisher,platforms,categories,tags,price,ratings
755760,King's Lance Games,King's Lance Games,windows;mac,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support,Strategy;Adventure;Casual,7.19,0.0
755770,Google,Google,windows,Single-player;Captions available,Early Access;VR,0.0,0.0
755790,Aurora Studio,TCH Scarlet Limited,windows,Online Multi-Player,Early Access;Free to Play;Battle Royale,0.0,1.0
755800,Parallel Space Inc,Parallel Space Inc,windows;mac,Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases,Free to Play;Massively Multiplayer;Strategy,0.0,0.0
755830,Greyson Richey;Nicholas Lives,Greyson Richey;Nicholas Lives,windows;mac;linux,Single-player;Steam Achievements;Partial Controller Support,Casual;Action;Indie,0.79,0.0
755850,SAT-BOX,SAT-BOX,windows,Single-player,Sports;VR;Action,10.99,0.0
755890,Bullid Games,Bullid Games,windows;mac;linux,Single-player;Steam Achievements,Casual;Indie;Puzzle,1.69,0.0
755920,Claws Up Games,Claws Up Games,windows;mac;linux,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Early Access;Action;Indie,9.29,0.0
755950,rokapublish,rokapublish,windows;mac,Single-player;Steam Achievements,Casual;Card Game;Adventure,6.19,2.0
755980,Whale Rock Games,Whale Rock Games,windows,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Stats;Steam Leaderboards,Action;Indie;Multiplayer,5.19,3.0
756020,Timba Games,Plug In Digital,windows;mac;linux,Single-player;Full controller support;Steam Cloud,Casual;Action;Indie,6.99,0.0
756040,WarDucks,WarDucks,windows,Single-player,Adventure;VR;Casual,3.99,0.0
756090,Nicholas Rizzo,Nicholas Rizzo,windows,Single-player,Early Access;Strategy;Action,3.99,0.0
756100,Tim Rachor,Tim Rachor,windows,Single-player;Steam Achievements;Steam Cloud,Adventure,2.09,0.0
756150,Dzsembori,Dzsembori,windows,Single-player;Steam Cloud,Simulation;Indie;Casual,1.99,0.0
756190,Lev Gogol,Lev Gogol,windows,Single-player;Steam Achievements;Partial Controller Support,Indie;Casual,0.79,0.0
756200,Deadly Serious Media,Deadly Serious Media,windows,Single-player;Steam Achievements,Action;Indie;Platformer,1.69,0.0
756210,Legion Ivory,Black Water,windows,Single-player,Adventure;Indie;Casual,0.79,0.0
756220,Ward Mahadin;Aaram Mahadin;Nehaia Halabeieh,Ward Mahadin,windows,Single-player,Indie;Adventure;Free to Play,0.0,0.0
756230,ObshaGaming,ObshaGaming,windows,Single-player;Steam Achievements,Indie;Violent,0.79,0.0
756240,Gil Clavien;Noé Zufferey;Jacky Casas,RTFM Corp.,windows;mac;linux,Single-player;Steam Achievements;Stats;Includes level editor,Strategy;Indie;Casual,4.79,1.0
756260,Mikhail Melnikov,Mikhail Melnikov,windows;mac;linux,Single-player;Steam Achievements;Steam Trading Cards,Indie;Casual;Strategy,0.79,0.0
756290,Fatmoth Interactive;Potato Face Games,Fatmoth Interactive,windows,Single-player;Multi-player;Online Multi-Player,Early Access;Action;Gore,15.49,0.0
756320,Phil Fortier,Phil Fortier,windows;mac;linux,Single-player;Steam Achievements,Adventure;Indie;2D,0.79,2.0
756340,Waden Kane Game Studios,Yes Productions,windows,Single-player;Steam Achievements,Action;Strategy;VR,6.19,0.0
756350,Daimen Gaming,Daimen Gaming,windows,Single-player;Partial Controller Support,Action;Indie;Violent,1.69,0.0
756360,Datura Games,Datura Games,windows,Multi-player,Early Access;Indie;Gore,4.79,0.0
756380,SyKoHPaTh,SyKoHPaTh,windows,Single-player;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Action;Adventure;Indie,3.99,0.0
756420,Tortishka,Metal Fox,windows,Single-player,Indie;Adventure;Action,0.79,0.0
756440,SharkGame,Garage Games,windows,Single-player;Steam Achievements,Action;Casual;Adventure,1.69,2.0
756490,LINE Games Corporation,LINE Games Corporation,windows,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;RPG,7.19,0.0
756500,Brave Giant LTD,Artifex Mundi,windows;mac;linux,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Noir,11.39,0.0
756520,VRROOM Ultimate VR Experiences,The I Love Company,windows,Single-player,Adventure;Sexual Content;VR,23.79,0.0
756560,Fabio Cunha,Fabio Cunha,windows,Single-player;Steam Achievements,Action;Casual;Strategy,3.99,0.0
756590,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,Single-player;Steam Achievements;Partial Controller Support,RPG;Anime;Female Protagonist,49.99,3.0
756600,Dranya Studio,Dranya Studio,windows,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Partial Controller Support,Early Access;Action;Casual,7.5,2.0
756630,JimJams Games,JimJams Games,windows,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Indie;Shoot 'Em Up,1.69,0.0
756650,NAKAMA VR GAMES,INTHEMIDDLE;NAKAMA VR,windows,Single-player,Action;VR,7.19,0.0
756680,TeamTO Games,Plug In Digital,windows,Single-player;Full controller support,Action;Casual;Racing,3.99,0.0
756700,Playsnak,Playsnak,windows,Single-player;Steam Achievements;Steam Leaderboards,Early Access;Racing;Action,9.29,1.0
756740,Simbryo,Simbryo,windows;mac;linux,Single-player;Steam Achievements;Partial Controller Support,Action;Indie;Violent,7.19,0.0
756790,mindfungus,mindfungus,windows;mac;linux,Single-player;Steam Achievements;Steam Cloud,Casual;Indie;Strategy,2.09,1.0
756810,Interplay,Interplay,windows,Single-player;Multi-player,Strategy,7.19,0.0
756840,STUDIO TOKOYO;vitte,STUDIO TOKOYO;vitte,windows;mac,Single-player;Partial Controller Support,Action;Indie;Adventure,7.19,0.0
756860,Stabbarey,Stabbarey,windows,Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements,Action;Adventure;Indie,7.19,0.0
756870,MyDreamForever_Old;Dark Light Studio,Dark Light Studio,windows,Single-player;Steam Achievements,Adventure;Indie;Casual,0.79,0.0
756880,CUTE ANIME GIRLS,Tranquility games,windows,Single-player;Steam Achievements,Adventure;Casual;Nudity,1.69,0.0
756980,Raymond Leung,Raymond Leung,windows,Single-player,Strategy;Action;Adventure,2.89,0.0
757030,Elephant Games,Big Fish Games,windows,Single-player,Adventure;Casual;Hidden Object,7.19,0.0
757040,Captain Games,Captain Games,windows;mac,Single-player,Sports;Indie;Golf,1.69,1.0
757060,EasterEgg Workshop,EasterEgg Workshop,windows,Single-player,Early Access;Action;Indie,3.99,0.0
757080,Choice of Games,Choice of Games,windows;mac;linux,Single-player;Steam Achievements;Captions available;Steam Cloud,Indie;Adventure;RPG,2.89,0.0
757100,WANDV.INC,WANDV.INC,windows,Single-player,Action;Indie;Casual,14.49,0.0
757130,ShadowWolf Games,ShadowWolf Games,windows,Multi-player;Online Multi-Player;Steam Achievements;In-App Purchases,Free to Play;Action;Massively Multiplayer,0.0,0.0
757160,Triverske,Triverske,windows,Single-player,Early Access;Casual;Simulation,3.99,0.0
757170,azimut team,azimut team,windows,Single-player,Indie;Casual;Adventure,0.79,0.0
757180,Sealtail Studio,LR Studio,windows,Single-player;Steam Achievements;Partial Controller Support,RPG;Adventure;Indie,1.69,4.0
757190,Taggrin,Taggrin,windows,Single-player;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Action;Indie;Casual,3.99,0.0
757200,Sixteen Tons Entertainment,Sixteen Tons Entertainment,windows,Single-player;Includes level editor,Simulation;Strategy;RTS,6.99,0.0
757210,Sixteen Tons Entertainment,Sixteen Tons Entertainment,windows,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Includes level editor,Simulation;Strategy;Mod,13.99,0.0
757230,Obi-Wanya,Obi-Wanya,windows,Single-player;Steam Achievements,Strategy;Casual,4.79,0.0
757240,Victor Möller,Victor Möller,windows,Single-player;Steam Workshop;Stats;Steam Leaderboards,Early Access;Free to Play;Action,0.0,4.0
757290,Stein Bock Games,Stein Bock Games,windows,Single-player,Indie;Casual;RPGMaker,0.79,0.0
757300,btf,Headup;WhisperGames,windows;mac;linux,Single-player;Steam Achievements,Adventure;Indie;Singleplayer,24.99,0.0
757330,Quiet River,Quiet River,windows,Single-player;Steam Achievements;Partial Controller Support,Indie;Casual;Puzzle,0.79,4.0
757350,Bullid Games,Bullid Games,windows;mac;linux,Single-player;Steam Achievements;Captions available,Indie;Casual;Puzzle,7.19,0.0
757380,OKAM Studio,OKAM Studio,windows,Single-player;Online Multi-Player,Free to Play;Action;Massively Multiplayer,0.0,0.0
757400,Thiele Media,Thiele Media,windows,Single-player;Steam Achievements;Steam Cloud,Early Access;Action;VR,15.49,0.0
757420,UVWGAME,UVWGAME,windows,Local Multi-Player,Early Access;Indie;Action,2.09,0.0
